19,175,60,1,3
20,168,62,1,4.5
26,175,75,1,3
22,170,50,1,2
19,158,42,1,2
19,165,72.5,1,2
20,165,60,1,3
48,174,74,1,1
20,180,62,1,1
43,156,100,2,2
19,170,56,2,2
20,165,53,1,2
20,178,60,1,1
21,183,71,1,2
18,164,55,1,1.2
19,176,66,2,1
20,180,70,1,1
22,175,67,1,1
20,168,49,1,1
25,180,135,1,1
23,165,50,1,1
55,160,55,2,8.9
22,177,68,2,5
45,155,60,1,0.6
20,178,52,1,0.5
21,175,62,1,0.5
20,175,57,1,0.5
20,163,63,1,0.5
20,160,65,1,0.5
35,165,55,1,0.5
48,155,57,1,0.5
21,160,54,1,0.2
19,152,52,1,0.2
20,160,62.5,2,0.4
18,177,64.5,1,0.4
20,158,41.3,1,0.3
20,172,80,0,5
21,175,145,0,5
40,168,74,0,5
18,164,46,0,3
20,161,58,0,3
21,160,58,0,3
24,164,50,0,3
35,174,90,0,2
18,158,50,0,2
20,150,43,0,2
19,165,53,0,2
20,170,60,0,2
22,157,44,0,2
50,170,70,0,2
25,170,50,0,10
33,170,92.5,0,1
18,166,50,0,1
21,174,58,0,1
19,162,46,0,1
34,155,110,0,1
60,160,52,0,1
21,160,52,0,0.8
18,170,75,0,0.8
21,180,68,2,8
28,173,90,2,10
24,175,67,2,10
18,170,60,2,10
20,173,54,1,6
20,180,61,1,10
45,160,51,2,6
21,157,45,2,12
19,158,50,2,10
19,163,53,2,4.2
19,181,74,1,8
18,170,58,1,6
20,169,64.5,1,5
21,170,60,2,5
18,167,56,2,5
57,155,60,2,4
19,165,57,1,3
20,163,52,1,5
24,160,48,1,5
20,160,45,2,3
19,165,54,2,5
20,190,72,2,4
16,181,66,2,9
21,165,65,1,4
21,165,65,1,4
20,180,67,1,4
20,160,45,1,3
20,160,45,1,3
22,155,40,1,2.5
50,150,50,1,3
21,162,52,1,4
19,177,67,1,4
20,160,55,1,5
55,160,60,1,5
55,158,52.5,1,4
17,171,53,1,3.6
18,172,60,1,3
20,168,45,1,2
55,158,46,1,3
55,160,47,1,3
24,160,53,1,4
13,163,45,1,1
55,159,48,1,1
22,177,70,1,8
20,165,52.5,1,5
20,182,80,1,5
21,153,50,1,4
20,161,47.5,1,4
20,182,68,2,3
38,178,80,1,3
19,174,60,1,3
19,165,56,1,3
19,165,56,1,3
21,161,47,2,2
19,180,65,2,2
18,164,50,2,2
20,163,53,1,2
19,178,57,1,2
18,170,52.5,1,2
20,160,50,1,2
21,170,60,1,10
18,165,46,1,1.5
19,155,40,1,1.2
21,178,78,1,1
18,160,65,1,1
18,155,48,1,0.5
